SMILES,TITLE,id,smiles,IUPAC Name,CAS,URL,ROCS_ShapeQuery,ROCS_TanimotoCombo,ROCS_ShapeTanimoto,ROCS_ColorTanimoto,ROCS_RefTversky,ROCS_RefColorTversky,ROCS_RefTverskyCombo,ROCS_FitTversky,ROCS_FitColorTversky,ROCS_FitTverskyCombo,ROCS_ColorScore,ROCS_Overlap,ROCS_Rank
COc1ccc(c(c1OC)Br)O,untitled-dbase-824_3,EN300-1895511,COC=1C=CC(O)=C(Br)C1OC,"2-bromo-3,4-dimethoxyphenol",16276-35-0,https://www.enaminestore.com/catalog/EN300-1895511,_x1604L0AP1_x0771L0AP1,0.890 ,0.509 ,0.381 ,0.451 ,0.428 ,0.879 ,1.333 ,0.777 ,2.110 ,-4.882,764.254,378                 
C=C(CCN)c1cccc(c1O)Br,untitled-dbase-1671_189,EN300-1923468,NCCC(=C)C=1C=CC=C(Br)C1O,2-(4-aminobut-1-en-2-yl)-6-bromophenol,2228177-60-2,https://www.enaminestore.com/catalog/EN300-1923468,_x1604L0AP1_x0771L0AP1,0.889 ,0.566 ,0.323 ,0.489 ,0.399 ,0.888 ,1.382 ,0.632 ,2.014 ,-4.569,829.510,379                 
c1c2c(c(c(c1Br)O)[N+](=O)[O-])CCC2,untitled-dbase-1364_2,EN300-2007938,OC=1C(Br)=CC=2CCCC2C1[N+](=O)[O-],"6-bromo-4-nitro-2,3-dihydro-1H-inden-5-ol",139515-86-9,https://www.enaminestore.com/catalog/EN300-2007938,_x1604L0AP1_x0771L0AP1,0.889 ,0.525 ,0.364 ,0.482 ,0.436 ,0.918 ,1.204 ,0.689 ,1.893 ,-5.004,819.034,380                 
COc1ccc(c(c1O)Br)C2(CCC2)CO,untitled-dbase-1248_101,EN300-1935942,COC=1C=CC(=C(Br)C1O)C2(CO)CCC2,2-bromo-3-[1-(hydroxymethyl)cyclobutyl]-6-methoxyphenol,2229620-36-2,https://www.enaminestore.com/catalog/EN300-1935942,_x1604L0AP1_x0771L0AP1,0.889 ,0.521 ,0.368 ,0.491 ,0.461 ,0.952 ,1.130 ,0.648 ,1.778 ,-5.305,836.290,381                 
CC(=O)C1(CC1)c2cccc(c2Br)O,untitled-dbase-778_27,EN300-1904614,CC(=O)C1(CC1)C=2C=CC=C(O)C2Br,1-[1-(2-bromo-3-hydroxyphenyl)cyclopropyl]ethan-1-one,2228344-40-7,https://www.enaminestore.com/catalog/EN300-1904614,_x1604L0AP1_x0771L0AP1,0.889 ,0.477 ,0.412 ,0.449 ,0.429 ,0.878 ,1.152 ,0.914 ,2.066 ,-4.874,761.713,382                 
c1cc(c(c(c1)O)Br)CCC=O,untitled-dbase-275_64,EN300-1894743,OC=1C=CC=C(CCC=O)C1Br,3-(2-bromo-3-hydroxyphenyl)propanal,1261479-02-0,https://www.enaminestore.com/catalog/EN300-1894743,_x1604L0AP1_x0771L0AP1,0.889 ,0.476 ,0.413 ,0.429 ,0.429 ,0.859 ,1.297 ,0.915 ,2.212 ,-4.881,726.272,383                 
c1ccc(cc1)[C@H](c2c(c(cc(c2F)Cl)Br)O)N,untitled-dbase-114_6,EN300-1277174,NC(C=1C=CC=CC1)C=2C(O)=C(Br)C=C(Cl)C2F,2-[amino(phenyl)methyl]-6-bromo-4-chloro-3-fluorophenol,2172194-54-4,https://www.enaminestore.com/catalog/EN300-1277174,_x1604L0AP1_x0771L0AP1,0.889 ,0.626 ,0.263 ,0.574 ,0.340 ,0.913 ,1.170 ,0.538 ,1.708 ,-3.896,979.142,384                 
c1cc(c(c(c1)Br)O)CCCCN,untitled-dbase-1020_69,EN300-1923459,NCCCCC=1C=CC=C(Br)C1O,2-(4-aminobutyl)-6-bromophenol,1897086-11-1,https://www.enaminestore.com/catalog/EN300-1923459,_x1604L0AP1_x0771L0AP1,0.889 ,0.535 ,0.354 ,0.470 ,0.405 ,0.875 ,1.349 ,0.736 ,2.085 ,-4.626,796.264,385                 
Cc1ccc(c(c1O)Br)F,untitled-dbase-49_0,EN300-198658,CC=1C=CC(F)=C(Br)C1O,2-bromo-3-fluoro-6-methylphenol,1522001-79-1,https://www.enaminestore.com/catalog/EN300-198658,_x1604L0AP1_x0771L0AP1,0.889 ,0.438 ,0.451 ,0.393 ,0.431 ,0.824 ,1.356 ,1.113 ,2.469 ,-4.882,662.846,386                 
CCOc1cc(cc(c1O)Br)C(=O)CN,untitled-dbase-2194_3277,EN300-1920214,CCOC=1C=C(C=C(Br)C1O)C(=O)CN,2-amino-1-(3-bromo-5-ethoxy-4-hydroxyphenyl)ethan-1-one,2228484-51-1,https://www.enaminestore.com/catalog/EN300-1920214,_x1604L0AP1_x0771L0AP1,0.889 ,0.643 ,0.246 ,0.550 ,0.337 ,0.888 ,1.354 ,0.475 ,1.829 ,-3.886,935.121,387                 
C[C@@H](CCc1cc(c(c(c1)Br)O)OC)O,untitled-dbase-578_160,EN300-1927033,COC=1C=C(CC[C@H](C)O)C=C(Br)C1O,2-bromo-4-[(3S)-3-hydroxybutyl]-6-methoxyphenol,2227800-15-7,https://www.enaminestore.com/catalog/EN300-1927033,_x1604L0AP1_x0771L0AP1,0.889 ,0.571 ,0.318 ,0.509 ,0.393 ,0.902 ,1.270 ,0.623 ,1.893 ,-4.509,864.962,388                 
C[C@@H](CCc1cc(c(c(c1)Br)O)OC)O,untitled-dbase-932_160,EN300-1927030,COC=1C=C(CCC(C)O)C=C(Br)C1O,2-bromo-4-(3-hydroxybutyl)-6-methoxyphenol,2229625-03-8,https://www.enaminestore.com/catalog/EN300-1927030,_x1604L0AP1_x0771L0AP1,0.889 ,0.571 ,0.318 ,0.509 ,0.393 ,0.902 ,1.270 ,0.623 ,1.893 ,-4.509,864.962,389                 
CC(C)C(=O)c1c(c(cc(c1F)Cl)Br)O,untitled-dbase-199_37,EN300-1276562,CC(C)C(=O)C=1C(O)=C(Br)C=C(Cl)C1F,1-(3-bromo-5-chloro-6-fluoro-2-hydroxyphenyl)-2-methylpropan-1-one,1702003-07-3,https://www.enaminestore.com/catalog/EN300-1276562,_x1604L0AP1_x0771L0AP1,0.888 ,0.602 ,0.286 ,0.528 ,0.345 ,0.873 ,1.303 ,0.626 ,1.929 ,-3.937,897.777,390                 
COc1cc(cc(c1O)Br)C(=O)C(F)F,untitled-dbase-885_69,EN300-1958945,COC=1C=C(C=C(Br)C1O)C(=O)C(F)F,"1-(3-bromo-4-hydroxy-5-methoxyphenyl)-2,2-difluoroethan-1-one",2229606-69-1,https://www.enaminestore.com/catalog/EN300-1958945,_x1604L0AP1_x0771L0AP1,0.888 ,0.607 ,0.281 ,0.534 ,0.340 ,0.875 ,1.290 ,0.618 ,1.908 ,-3.885,908.304,391                 
c1cc(c(c(c1)Br)O)c2cc(on2)C(=O)O,untitled-dbase-718_119,EN300-2004004,OC(=O)C1=CC(=NO1)C=2C=CC=C(Br)C2O,"3-(3-bromo-2-hydroxyphenyl)-1,2-oxazole-5-carboxylic acid",1897347-36-2,https://www.enaminestore.com/catalog/EN300-2004004,_x1604L0AP1_x0771L0AP1,0.888 ,0.597 ,0.291 ,0.544 ,0.404 ,0.947 ,1.198 ,0.510 ,1.708 ,-4.668,926.235,392                 
C=Cc1cc(cc(c1O)Br)Cl,untitled-dbase-489_2,EN300-1922897,OC=1C(Br)=CC(Cl)=CC1C=C,2-bromo-4-chloro-6-ethenylphenol,2228870-27-5,https://www.enaminestore.com/catalog/EN300-1922897,_x1604L0AP1_x0771L0AP1,0.888 ,0.490 ,0.399 ,0.430 ,0.419 ,0.849 ,1.397 ,0.892 ,2.289 ,-4.759,726.484,393                 
c1c(cc(c(c1[C@H](CN)CO)O)Br)Cl,untitled-dbase-1715_230,EN300-1922882,NCC(CO)C=1C=C(Cl)C=C(Br)C1O,2-(1-amino-3-hydroxypropan-2-yl)-6-bromo-4-chlorophenol,2228528-29-6,https://www.enaminestore.com/catalog/EN300-1922882,_x1604L0AP1_x0771L0AP1,0.888 ,0.422 ,0.466 ,0.408 ,0.544 ,0.951 ,1.092 ,0.765 ,1.857 ,-6.260,691.678,394                 
CCOc1cc(cc(c1O)Br)C2(CC2)CN,untitled-dbase-1740_1031,EN300-2003700,CCOC=1C=C(C=C(Br)C1O)C2(CN)CC2,4-[1-(aminomethyl)cyclopropyl]-2-bromo-6-ethoxyphenol,2229332-85-6,https://www.enaminestore.com/catalog/EN300-2003700,_x1604L0AP1_x0771L0AP1,0.888 ,0.626 ,0.262 ,0.551 ,0.339 ,0.890 ,1.275 ,0.537 ,1.811 ,-3.883,938.506,395                 
Cc1cc(c(c(c1)Br)O)C=O,untitled-dbase-1545_6,EN300-129716,CC=1C=C(Br)C(O)=C(C=O)C1,3-bromo-2-hydroxy-5-methylbenzaldehyde,33172-54-2,https://www.enaminestore.com/catalog/EN300-129716,_x1604L0AP1_x0771L0AP1,0.888 ,0.456 ,0.431 ,0.411 ,0.443 ,0.854 ,1.315 ,0.943 ,2.259 ,-5.033,695.701,396                 
COc1cc(cc(c1O)Br)C2(CC2)C=O,untitled-dbase-1521_227,EN300-1926978,COC=1C=C(C=C(Br)C1O)C2(CC2)C=O,1-(3-bromo-4-hydroxy-5-methoxyphenyl)cyclopropane-1-carbaldehyde,2229102-30-9,https://www.enaminestore.com/catalog/EN300-1926978,_x1604L0AP1_x0771L0AP1,0.888 ,0.505 ,0.382 ,0.475 ,0.429 ,0.904 ,1.147 ,0.779 ,1.926 ,-4.897,806.984,397                 
Cc1c(ccc(c1O)Br)[N+](=O)[O-],untitled-dbase-2277_2,EN300-20977739,CC=1C(O)=C(Br)C=CC1[N+](=O)[O-],6-bromo-2-methyl-3-nitrophenol,1805573-41-4,https://www.enaminestore.com/catalog/EN300-20977739,_x1604L0AP1_x0771L0AP1,0.888 ,0.508 ,0.380 ,0.452 ,0.427 ,0.880 ,1.319 ,0.774 ,2.093 ,-4.879,765.807,398                 
CCOc1cc(cc(c1O)Br)C[N@@](C)O,untitled-dbase-705_997,EN300-1920226,CCOC=1C=C(CN(C)O)C=C(Br)C1O,2-bromo-6-ethoxy-4-{[hydroxy(methyl)amino]methyl}phenol,2229416-83-3,https://www.enaminestore.com/catalog/EN300-1920226,_x1604L0AP1_x0771L0AP1,0.888 ,0.607 ,0.281 ,0.530 ,0.340 ,0.871 ,1.311 ,0.618 ,1.929 ,-3.886,901.098,399                 
CCCC(=O)c1cc(c(cc1C)O)Br,untitled-dbase-2080_135,EN300-1276715,CCCC(=O)C=1C=C(Br)C(O)=CC1C,1-(5-bromo-4-hydroxy-2-methylphenyl)butan-1-one,2110466-13-0,https://www.enaminestore.com/catalog/EN300-1276715,_x1604L0AP1_x0771L0AP1,0.888 ,0.507 ,0.380 ,0.464 ,0.427 ,0.891 ,1.226 ,0.776 ,2.002 ,-4.878,787.208,400                 
c1cc(c(c(c1)Br)O)[C@H](CCN)F,untitled-dbase-1693_6,EN300-1923129,NCCC(F)C=1C=CC=C(Br)C1O,2-(3-amino-1-fluoropropyl)-6-bromophenol,2228437-52-1,https://www.enaminestore.com/catalog/EN300-1923129,_x1604L0AP1_x0771L0AP1,0.888 ,0.524 ,0.363 ,0.466 ,0.413 ,0.879 ,1.316 ,0.750 ,2.066 ,-4.716,789.422,401                 
c1c(cc(c(c1C=O)O)Br)Cl,untitled-dbase-1537_6,EN300-370866,OC=1C(Br)=CC(Cl)=CC1C=O,3-bromo-5-chloro-2-hydroxybenzaldehyde,19652-32-5,https://www.enaminestore.com/catalog/EN300-370866,_x1604L0AP1_x0771L0AP1,0.888 ,0.456 ,0.432 ,0.410 ,0.443 ,0.853 ,1.326 ,0.944 ,2.269 ,-5.035,693.185,402                 
C=Cc1ccc(c(c1)Br)O,untitled-dbase-1685_1,EN300-1906348,OC=1C=CC(C=C)=CC1Br,2-bromo-4-ethenylphenol,80122-46-9,https://www.enaminestore.com/catalog/EN300-1906348,_x1604L0AP1_x0771L0AP1,0.888 ,0.475 ,0.413 ,0.414 ,0.429 ,0.844 ,1.444 ,0.914 ,2.358 ,-4.879,699.683,403                 
c1cc(c(c(c1)Br)O)c2cc(no2)C(=O)O,untitled-dbase-1873_3,EN300-1923469,OC(=O)C=1C=C(ON1)C=2C=CC=C(Br)C2O,"5-(3-bromo-2-hydroxyphenyl)-1,2-oxazole-3-carboxylic acid",1898391-85-9,https://www.enaminestore.com/catalog/EN300-1923469,_x1604L0AP1_x0771L0AP1,0.887 ,0.602 ,0.286 ,0.547 ,0.398 ,0.944 ,1.202 ,0.503 ,1.705 ,-4.601,931.172,404                 
CC(C)(c1cccc(c1O)Br)NC,untitled-dbase-547_9,EN300-1923463,CNC(C)(C)C=1C=CC=C(Br)C1O,2-bromo-6-[2-(methylamino)propan-2-yl]phenol,2229370-03-8,https://www.enaminestore.com/catalog/EN300-1923463,_x1604L0AP1_x0771L0AP1,0.887 ,0.542 ,0.345 ,0.478 ,0.419 ,0.896 ,1.331 ,0.663 ,1.994 ,-4.799,809.827,405                 
CCOc1cc(cc(c1O)Br)C(=O)[C@@H](C)N,untitled-dbase-576_1748,EN300-1920218,CCOC=1C=C(C=C(Br)C1O)C(=O)C(C)N,2-amino-1-(3-bromo-5-ethoxy-4-hydroxyphenyl)propan-1-one,2229593-30-8,https://www.enaminestore.com/catalog/EN300-1920218,_x1604L0AP1_x0771L0AP1,0.887 ,0.642 ,0.245 ,0.559 ,0.337 ,0.896 ,1.300 ,0.474 ,1.774 ,-3.883,951.325,406                 
c1cc(c(c(c1)Br)O)/C=C/C=O,untitled-dbase-1071_1,EN300-1923159,OC=1C(Br)=CC=CC1C=CC=O,3-(3-bromo-2-hydroxyphenyl)prop-2-enal,1606147-48-1,https://www.enaminestore.com/catalog/EN300-1923159,_x1604L0AP1_x0771L0AP1,0.887 ,0.491 ,0.396 ,0.439 ,0.417 ,0.856 ,1.314 ,0.889 ,2.203 ,-4.740,743.622,407                 
COc1ccc(c(c1O)Br)CC2(CC2)CO,untitled-dbase-1947_305,EN300-1936266,COC=1C=CC(CC2(CO)CC2)=C(Br)C1O,2-bromo-3-{[1-(hydroxymethyl)cyclopropyl]methyl}-6-methoxyphenol,2228438-36-4,https://www.enaminestore.com/catalog/EN300-1936266,_x1604L0AP1_x0771L0AP1,0.887 ,0.496 ,0.391 ,0.475 ,0.459 ,0.934 ,1.095 ,0.727 ,1.822 ,-5.259,808.980,408                 
c1c(cc(c(c1C=O)O)Br)F,untitled-dbase-117_6,EN300-177154,OC=1C(Br)=CC(F)=CC1C=O,3-bromo-5-fluoro-2-hydroxybenzaldehyde,178546-34-4,https://www.enaminestore.com/catalog/EN300-177154,_x1604L0AP1_x0771L0AP1,0.887 ,0.456 ,0.431 ,0.412 ,0.443 ,0.855 ,1.305 ,0.943 ,2.248 ,-5.031,696.695,409                 
CCOc1cc(cc(c1O)Br)[C@H](CC#N)O,untitled-dbase-1638_3762,EN300-1920272,CCOC=1C=C(C=C(Br)C1O)C(O)CC#N,3-(3-bromo-5-ethoxy-4-hydroxyphenyl)-3-hydroxypropanenitrile,2228720-68-9,https://www.enaminestore.com/catalog/EN300-1920272,_x1604L0AP1_x0771L0AP1,0.887 ,0.642 ,0.245 ,0.558 ,0.337 ,0.895 ,1.305 ,0.474 ,1.779 ,-3.883,949.200,410                 
C[C@@H](Cc1ccc(c(c1Br)O)OC)O,untitled-dbase-975_20,EN300-1935917,COC=1C=CC(C[C@H](C)O)=C(Br)C1O,2-bromo-3-[(2S)-2-hydroxypropyl]-6-methoxyphenol,2227869-69-2,https://www.enaminestore.com/catalog/EN300-1935917,_x1604L0AP1_x0771L0AP1,0.887 ,0.491 ,0.396 ,0.454 ,0.463 ,0.917 ,1.195 ,0.734 ,1.928 ,-5.308,770.971,411                 
C[C@@H](Cc1ccc(c(c1Br)O)OC)O,untitled-dbase-1124_20,EN300-1935617,COC=1C=CC(CC(C)O)=C(Br)C1O,2-bromo-3-(2-hydroxypropyl)-6-methoxyphenol,2229586-79-0,https://www.enaminestore.com/catalog/EN300-1935617,_x1604L0AP1_x0771L0AP1,0.887 ,0.491 ,0.396 ,0.454 ,0.463 ,0.917 ,1.195 ,0.734 ,1.928 ,-5.308,770.971,412                 
CC(C)(CN)c1cccc(c1O)Br,untitled-dbase-286_18,EN300-1897626,CC(C)(CN)C=1C=CC=C(Br)C1O,2-(1-amino-2-methylpropan-2-yl)-6-bromophenol,1516212-79-5,https://www.enaminestore.com/catalog/EN300-1897626,_x1604L0AP1_x0771L0AP1,0.887 ,0.542 ,0.345 ,0.476 ,0.418 ,0.895 ,1.340 ,0.663 ,2.003 ,-4.797,807.546,413                 
C[C@H](CCc1cccc(c1O)Br)N,untitled-dbase-239_12,EN300-1911033,C[C@@H](N)CCC=1C=CC=C(Br)C1O,2-[(3R)-3-aminobutyl]-6-bromophenol,1344457-02-8,https://www.enaminestore.com/catalog/EN300-1911033,_x1604L0AP1_x0771L0AP1,0.887 ,0.527 ,0.360 ,0.467 ,0.410 ,0.877 ,1.326 ,0.745 ,2.072 ,-4.685,790.537,414                 
c1c(cc(c(c1CCC(=O)O)O)Br)Cl,untitled-dbase-1378_168,EN300-1910487,OC(=O)CCC=1C=C(Cl)C=C(Br)C1O,3-(3-bromo-5-chloro-2-hydroxyphenyl)propanoic acid,938349-76-9,https://www.enaminestore.com/catalog/EN300-1910487,_x1604L0AP1_x0771L0AP1,0.887 ,0.554 ,0.333 ,0.491 ,0.407 ,0.898 ,1.302 ,0.645 ,1.947 ,-4.671,833.141,415                 
CC(C)(C=O)c1cc(c(c(c1)Br)O)OC,untitled-dbase-1224_197,EN300-1926984,COC=1C=C(C=C(Br)C1O)C(C)(C)C=O,2-(3-bromo-4-hydroxy-5-methoxyphenyl)-2-methylpropanal,2229316-65-6,https://www.enaminestore.com/catalog/EN300-1926984,_x1604L0AP1_x0771L0AP1,0.887 ,0.532 ,0.355 ,0.489 ,0.427 ,0.916 ,1.200 ,0.677 ,1.876 ,-4.898,830.594,416                 
COc1ccc(c(c1O)Br)CC2(CC2)O,untitled-dbase-1159_292,EN300-1936268,COC=1C=CC(CC2(O)CC2)=C(Br)C1O,2-bromo-3-[(1-hydroxycyclopropyl)methyl]-6-methoxyphenol,2228338-83-6,https://www.enaminestore.com/catalog/EN300-1936268,_x1604L0AP1_x0771L0AP1,0.887 ,0.532 ,0.355 ,0.490 ,0.427 ,0.917 ,1.191 ,0.677 ,1.868 ,-4.901,832.681,417                 
CCOc1cc(cc(c1O)Br)C(=S)N,untitled-dbase-908_233,EN300-1920595,CCOC=1C=C(C=C(Br)C1O)C(=S)N,3-bromo-5-ethoxy-4-hydroxybenzene-1-carbothioamide,2229105-65-9,https://www.enaminestore.com/catalog/EN300-1920595,_x1604L0AP1_x0771L0AP1,0.887 ,0.504 ,0.383 ,0.462 ,0.429 ,0.891 ,1.221 ,0.779 ,2.000 ,-4.898,783.753,418                 
